Groups:
phase[2:0] =, phase[2], phase[1], phase[0], ,
active_count[6:0] =, active_count[6], active_count[5], active_count[4], active_count[3], active_count[2], active_count[1], active_count[0], ,
underruns[31:0] =, underruns[31], underruns[30], underruns[29], underruns[28], underruns[27], underruns[26], underruns[25], underruns[24], underruns[23], underruns[22], underruns[21], underruns[20], underruns[19], underruns[18], underruns[17], underruns[16], underruns[15], underruns[14], underruns[13], underruns[12], underruns[11], underruns[10], underruns[9], underruns[8], underruns[7], underruns[6], underruns[5], underruns[4], underruns[3], underruns[2], underruns[1], underruns[0], ,
completed_runs[15:0] =, completed_runs[15], completed_runs[14], completed_runs[13], completed_runs[12], completed_runs[11], completed_runs[10], completed_runs[9], completed_runs[8], completed_runs[7], completed_runs[6], completed_runs[5], completed_runs[4], completed_runs[3], completed_runs[2], completed_runs[1], completed_runs[0], ,
pressed[2:0] =, pressed[2], pressed[1], pressed[0], ,
measured_cycles[25:0] =, measured_cycles[25], measured_cycles[24], measured_cycles[23], measured_cycles[22], measured_cycles[21], measured_cycles[20], measured_cycles[19], measured_cycles[18], measured_cycles[17], measured_cycles[16], measured_cycles[15], measured_cycles[14], measured_cycles[13], measured_cycles[12], measured_cycles[11], measured_cycles[10], measured_cycles[9], measured_cycles[8], measured_cycles[7], measured_cycles[6], measured_cycles[5], measured_cycles[4], measured_cycles[3], measured_cycles[2], measured_cycles[1], measured_cycles[0], ,

Data:
time unit: ps, rst_n, start_request, stop_request, start_ready, busy, holding, released, error, fault, serial_seen, pll_locked, clock_valid, clock_good, bclk, lrclk, serial_data, phase[2:0], phase[2], phase[1], phase[0], active_count[6:0], active_count[6], active_count[5], active_count[4], active_count[3], active_count[2], active_count[1], active_count[0], underruns[31:0], underruns[31], underruns[30], underruns[29], underruns[28], underruns[27], underruns[26], underruns[25], underruns[24], underruns[23], underruns[22], underruns[21], underruns[20], underruns[19], underruns[18], underruns[17], underruns[16], underruns[15], underruns[14], underruns[13], underruns[12], underruns[11], underruns[10], underruns[9], underruns[8], underruns[7], underruns[6], underruns[5], underruns[4], underruns[3], underruns[2], underruns[1], underruns[0], completed_runs[15:0], completed_runs[15], completed_runs[14], completed_runs[13], completed_runs[12], completed_runs[11], completed_runs[10], completed_runs[9], completed_runs[8], completed_runs[7], completed_runs[6], completed_runs[5], completed_runs[4], completed_runs[3], completed_runs[2], completed_runs[1], completed_runs[0], pressed[2:0], pressed[2], pressed[1], pressed[0], measured_cycles[25:0], measured_cycles[25], measured_cycles[24], measured_cycles[23], measured_cycles[22], measured_cycles[21], measured_cycles[20], measured_cycles[19], measured_cycles[18], measured_cycles[17], measured_cycles[16], measured_cycles[15], measured_cycles[14], measured_cycles[13], measured_cycles[12], measured_cycles[11], measured_cycles[10], measured_cycles[9], measured_cycles[8], measured_cycles[7], measured_cycles[6], measured_cycles[5], measured_cycles[4], measured_cycles[3], measured_cycles[2], measured_cycles[1], measured_cycles[0],
0, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X,
20345, 1, 0, 0, 0, 1, 1, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 3, 0, 1, 1, 40, 1, 0, 0, 0, 0, 0, 0, 00000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 007C, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 04B0000, 0, 0, 0, 1, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
40690, 1, 0, 0, 0, 1, 1, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 3, 0, 1, 1, 40, 1, 0, 0, 0, 0, 0, 0, 00000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 007C, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 04B0000, 0, 0, 0, 1, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
61035, 1, 0, 0, 0, 1, 1, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 3, 0, 1, 1, 40, 1, 0, 0, 0, 0, 0, 0, 00000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 007C, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 04B0000, 0, 0, 0, 1, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
81380, 1, 0, 0, 0, 1, 1, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 3, 0, 1, 1, 40, 1, 0, 0, 0, 0, 0, 0, 00000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 007C, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 04B0000, 0, 0, 0, 1, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
101725, 1, 0, 0, 0, 1, 1, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 3, 0, 1, 1, 40, 1, 0, 0, 0, 0, 0, 0, 00000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 007C, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 04B0000, 0, 0, 0, 1, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
122070, 1, 0, 0, 0, 1, 1, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 3, 0, 1, 1, 40, 1, 0, 0, 0, 0, 0, 0, 00000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 007C, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 04B0000, 0, 0, 0, 1, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
142415, 1, 0, 0, 0, 1, 1, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 3, 0, 1, 1, 40, 1, 0, 0, 0, 0, 0, 0, 00000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 007C, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 04B0000, 0, 0, 0, 1, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
162760, 1, 0, 0, 0, 1, 1, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 3, 0, 1, 1, 40, 1, 0, 0, 0, 0, 0, 0, 00000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 007C, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 04B0000, 0, 0, 0, 1, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
183105, 1, 0, 0, 0, 1, 1, 0, 0, 0, 1, 1, 1, 1, 1, 0, 0, 3, 0, 1, 1, 40, 1, 0, 0, 0, 0, 0, 0, 00000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 007C, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 04B0000, 0, 0, 0, 1, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
